ResourceGroup,ResourceGroupId,SubscriptionName,SubscriptionId,Resource,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv01-prod-eastus,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv01-prod-eastus,Recovery Services vault,US East,[],2120.557242,2120.557242,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv05-test-eastus,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv05-test-eastus,Recovery Services vault,US East,[],644.0495905,644.0495905,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv02-prod-eastus2,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv02-prod-eastus2,Recovery Services vault,US East 2,[],45.03833584,45.03833584,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv04-prod-southcentralus,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv04-prod-southcentralus,Recovery Services vault,US South Central,[],23.98195006,23.98195006,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv03-prod-centralus,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv03-prod-centralus,Recovery Services vault,US Central,[],14.2109651,14.2109651,USD
backup,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,rsv06-prod-uksouth,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/backup/providers/microsoft.recoveryservices/vaults/rsv06-prod-uksouth,Recovery Services vault,UK South,[],6.059980303,6.059980303,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,app-gt02-prod-csc-retailweb,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/applicationgateways/app-gt02-prod-csc-retailweb,Application gateway,"US East, Intercontinental","[""\""subnetdelegatedtoappgwservice\"":\""false\""""]",1446.833569,1446.833569,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip146-app-gt-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip146-app-gt-prod-csc,Public IP address,US East,[],199.870048,199.870048,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,pip147-loadbalance07-prod-csc-universalweb,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/publicipaddresses/pip147-loadbalance07-prod-csc-universalweb,Public IP address,US East,[],199.870048,199.870048,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm97-prod-csc-universal-web01,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm97-prod-csc-universal-web01,Virtual machine,US East,"[""\""environment\"":\""production\"""",""\""product\"":\""prod - csc\"""",""\""publisher\"":\""openlogic\""""]",30.20574482,30.20574482,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm98-prod-csc-universal-web02,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm98-prod-csc-universal-web02,Virtual machine,US East,"[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",30.18482347,30.18482347,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm100-prod-csc-universal-web04,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm100-prod-csc-universal-web04,Virtual machine,"US East, Intercontinental","[""\""environment\"":\""production\"""",""\""product\"":\""prod - csc\"""",""\""publisher\"":\""openlogic\""""]",29.99374082,29.99374082,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm99-prod-csc-universal-web03,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/virtualmachines/vm99-prod-csc-universal-web03,Virtual machine,US East,"[""\""environment\"":\""production\"""",""\""publisher\"":\""openlogic\"""",""\""product\"":\""prod - csc\""""]",29.98110483,29.98110483,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,tm04-prod-csc-reportserver,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.network/trafficmanagerprofiles/tm04-prod-csc-reportserver,Traffic Manager profile,Unknown,[],21.19542904,21.19542904,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,sa28prodcsc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.storage/storageaccounts/sa28prodcsc,Storage account,US East,[],19.56966681,19.56966681,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,sa38prodcscuniversal,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.storage/storageaccounts/sa38prodcscuniversal,Storage account,US East,[],19.56966681,19.56966681,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm100-prod-csc-universal-web04-disk,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm100-prod-csc-universal-web04-disk,Disk,US East,[],19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm101-prod-csc-universal-soft01_osdisk_1_0d87c751f0774a8299773475ddd50ed5,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm101-prod-csc-universal-soft01_osdisk_1_0d87c751f0774a8299773475ddd50ed5,Disk,US East,[],19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm102-prod-csc-retail-web01-disk,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm102-prod-csc-retail-web01-disk,Disk,US East,[],19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm103-prod-csc-retail-web02-disk,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm103-prod-csc-retail-web02-disk,Disk,US East,[],19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm104-prod-csc-retail-web03-disk,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm104-prod-csc-retail-web03-disk,Disk,US East,[],19.28583596,19.28583596,USD
rg52-prod-csc,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc,KioSoft Globalazure  Subscription,6276588a-9234-41ee-a81c-7538ea3a817e,vm105-prod-csc-retail-web04-disk,/subscriptions/6276588a-9234-41ee-a81c-7538ea3a817e/resourcegroups/rg52-prod-csc/providers/microsoft.compute/disks/vm105-prod-csc-retail-web04-disk,Disk,US East,[],19.28583596,19.28583596,USD
