Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
[critical mysql offline]-mysql03-prod-modem-dbrestore04,KioSoft Globalazure  Subscription,rg50-prod-modem,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql10-prod-universal,KioSoft Globalazure  Subscription,cmk,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql11-test-csc,KioSoft Globalazure  Subscription,rg51-test-csc,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql12-prod-cleanstore,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql14-prod-market,KioSoft Globalazure  Subscription,retail,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql15-prod-market-replica,KioSoft Globalazure  Subscription,retail,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql19-prod-cleanstore-db02,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql22-prod-csc-retail,KioSoft Globalazure  Subscription,rg20003-prod-csc,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql23-prod-csc-universal,KioSoft Globalazure  Subscription,rg20003-prod-csc,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql24-prod-modem,KioSoft Globalazure  Subscription,rg50-prod-modem,0.092191,0.092191,0,SAME
[critical mysql offline]-mysql25-prod-olap,KioSoft Globalazure  Subscription,rg20000-prod-olap,0.092191,0.092191,0,SAME
[critical mysql online]-mysql17-prod-kiocentraluk,KioSoft Globalazure  Subscription,rg60-prod-kiocentraluk,0.05827,0.05827,0,SAME
[high replication lag]-mysql15-prod-market-replica,KioSoft Globalazure  Subscription,retail,0.092191,0.092191,0,SAME
[high replication lag]-mysql19-prod-cleanstore-db02,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.092191,0.092191,0,SAME
[high storage io percent]-mysql03-prod-modem-dbrestore04,KioSoft Globalazure  Subscription,rg50-prod-modem,0.092191,0.092191,0,SAME
[high storage io percent]-mysql05-test-retail,KioSoft Globalazure  Subscription,kiosoft-test,0.092191,0.092191,0,SAME
[high storage io percent]-mysql10-prod-universal,KioSoft Globalazure  Subscription,cmk,0.092191,0.092191,0,SAME
[high storage io percent]-mysql11-test-csc,KioSoft Globalazure  Subscription,rg51-test-csc,0.092191,0.092191,0,SAME
[high storage io percent]-mysql12-prod-cleanstore,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.092191,0.092191,0,SAME
[high storage io percent]-mysql14-prod-market,KioSoft Globalazure  Subscription,retail,0.092191,0.092191,0,SAME
[high storage io percent]-mysql15-prod-market-replica,KioSoft Globalazure  Subscription,retail,0.092191,0.092191,0,SAME
[high storage io percent]-mysql19-prod-cleanstore-db02,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,0.092063,0.092063,0,SAME
[high storage io percent]-mysql22-prod-csc-retail,KioSoft Globalazure  Subscription,rg20003-prod-csc,0.092191,0.092191,0,SAME
[high storage io percent]-mysql23-prod-csc-universal,KioSoft Globalazure  Subscription,rg20003-prod-csc,0.092191,0.092191,0,SAME
[high storage io percent]-mysql24-prod-modem,KioSoft Globalazure  Subscription,rg50-prod-modem,0.092191,0.092191,0,SAME
[high storage io percent]-mysql25-prod-olap,KioSoft Globalazure  Subscription,rg20000-prod-olap,0.092191,0.092191,0,SAME
02559940-92d3-4914-b3ac-cc3365d2bb2b,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,3.60004,3.60004,0,SAME
8b906ae0-b714-42c6-9763-7e7d876c5224,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,3.60004,3.60004,0,SAME
accessauditsystem-ip,KioSoft Globalazure  Subscription,rg20002-prod-om,3.60004,3.60004,0,SAME
acr storage alert,KioSoft Globalazure  Subscription,commandcenter,0.092191,0.092191,0,SAME
activeconnectionalert-kiopos-error,KioSoft Globalazure  Subscription,rg43_prod_alert,0.092191,0.092191,0,SAME
activeconnectionalert-pros-cleanstore,KioSoft Globalazure  Subscription,retail,0.058655,0.058655,0,SAME
adf10000-test-datalake,KioSoft Globalazure  Subscription,rg10003-test-datalake,14.40025,14.40025,0,SAME
adls10000testdatalake,KioSoft Globalazure  Subscription,rg10003-test-datalake,0.672992,0.672992,0,SAME
aks-agentpool-12407023-vmss,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.002831,0.002831,0,SAME
aks-agentpool-12407023-vmss / 0,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,14.38,14.38,0,SAME
aks-agentpool-12407023-vmss / 1,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,14.38,14.38,0,SAME
aks-agentpool-124070aks-agentpool-1240702os__1_e26676ec8d1643a7a79695c0fc57cd42,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,19.285836,0,SAME
aks-agentpool-124070aks-agentpool-1240702os__1_fa5179932c094aa09d6a6fecba69ccab,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,19.285836,0,SAME
aks-e2asv4pool-31020068-vmss,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,0.149687,0.149687,0,SAME
aks-e2asv4pool-31020068-vmss / 0,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,14.4,14.4,0,SAME
aks-e2asv4pool-31020068-vmss / 1,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,14.4,14.4,0,SAME
aks-e2asv4pool-31020aks-e2asv4pool-310200os__1_110cd2f919104b56830b7a3fa60ebbeb,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,19.285836,0,SAME
aks-e2asv4pool-31020aks-e2asv4pool-310200os__1_8157d663eb40472f8f0da43be164d201,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,19.285836,19.285836,0,SAME
aks-e4asv4pool-22212387-vmss,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.014961,0.014961,0,SAME
aks-e4asv4pool-22212387-vmss / 0,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,14.4,14.4,0,SAME
aks-e4asv4pool-22212387-vmss / 2,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.02,0.02,0,SAME
aks-e4asv4pool-22212387-vmss / 4,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.02,0.02,0,SAME
aks-e4asv4pool-22212387-vmss / 5,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.42,0.42,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_10e1761e848c4a5fad65a01ba7cf9bde,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.711807,0.711807,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_2606b0bd40694f65a4956a15b6f95c80,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.014743,0.014743,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_3038d45942ad497a9522cc698a2afe1a,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,18.530155,18.530155,0,SAME
aks-e4asv4pool-22212aks-e4asv4pool-222123os__1_671737dcc4fe4f9f8c455b37c2902739,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,0.588954,0.588954,0,SAME
