Resource,SubscriptionName,ResourceGroup,CurrentCostUSD,LastCostUSD,DeltaUSD,Remark
mysql12-prod-cleanstore,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,1267.267276,967.714034,299.553242,UP
tmsprod,KioSoft Globalazure  Subscription,tmsprod,545.691714,794.459442,-248.767727,DOWN
disk20011-prod-elk-os,KioSoft Globalazure  Subscription,rg20002-prod-om,26.63039,264.625075,-237.994685,DOWN
mysql05-test-retail,KioSoft Globalazure  Subscription,kiosoft-test,472.979616,613.078354,-140.098739,DOWN
mysql15-prod-market-replica,KioSoft Globalazure  Subscription,retail,87.20266,200.240087,-113.037427,DOWN
rsv05-test-eastus,KioSoft Globalazure  Subscription,backup,644.049591,740.034523,-95.984932,DOWN
disk20012-prod-csc-elk01-os,KioSoft Globalazure  Subscription,rg20003-prod-csc,42.058947,137.669171,-95.610224,DOWN
azurebackup_vm20007-prod-elk01_929623888800552841,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,7.615236,88.041021,-80.425785,DOWN
azurebackup_vm20016-prod-doris01_929623887154713044,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,161.629644,87.699962,73.929682,UP
rsv01-prod-eastus,KioSoft Globalazure  Subscription,backup,2120.557242,2047.304148,73.253094,UP
disk20026-prod-elk01-data01,KioSoft Globalazure  Subscription,rg20003-prod-csc,72.626445,0.0,72.626445,NEW
cc-test,KioSoft Globalazure  Subscription,commandcenter,0.0,63.202548,-63.202548,REMOVED
restore-prod-sage,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,56.032004,0.0,56.032004,NEW
mysql19-prod-cleanstore-db02,KioSoft Globalazure  Subscription,rg47-prod-cleanstore,213.123072,159.032706,54.090365,UP
restoreprodsage-osdisk-20250930-051805,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,49.035432,0.0,49.035432,NEW
vm126-automated-testing-platform,KioSoft Globalazure  Subscription,rg53-automated_testing_platform,17.392144,58.14608,-40.753936,DOWN
kubernetes,KioSoft Globalazure  Subscription,mc_commandcenter_cc-test_eastus,0.0,40.121386,-40.121386,REMOVED
vm136-prod-wazan-web01,KioSoft Globalazure  Subscription,rg55-prod-wazan,17.414216,57.391661,-39.977445,DOWN
disk20021-prod-elk01-data01,KioSoft Globalazure  Subscription,rg20002-prod-om,186.988173,147.770718,39.217454,UP
redis9998-test-automation,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,36.024866,0.0,36.024866,NEW
kubernetes,KioSoft Globalazure  Subscription,mc_commandcenter_aks10000-test-cc_eastus,72.865198,36.906475,35.958723,UP
restore-prod-jumpserver,KioSoft Globalazure  Subscription,rg9999-test-infrastructure,35.228506,0.0,35.228506,NEW
ff5c9fa757a8e4a31ab7f6e,KioSoft Globalazure  Subscription,mc_rg20007-prod-kiocentral-aks_aks20000-prod-kiocentral_eastus,41.268228,6.155917,35.112311,UP
mysql24-prod-modem,KioSoft Globalazure  Subscription,rg50-prod-modem,170.580863,135.933063,34.6478,UP
azurebackup_vm20008-prod-csc-elk01_929623888257432526,KioSoft Globalazure  Subscription,azurebackuprg_eastus_1,14.80386,49.021836,-34.217975,DOWN
app-gt02-prod-csc-retailweb,KioSoft Globalazure  Subscription,rg52-prod-csc,1446.833569,1480.779483,-33.945914,DOWN
restore-mysql03-prod-modem-latest-0816,KioSoft Globalazure  Subscription,rg50-prod-modem,0.0,32.506218,-32.506218,REMOVED
vm20006-prod-backupserver,KioSoft Globalazure  Subscription,rg20002-prod-om,49.371956,16.962398,32.409558,UP
restore-mysql03-prod-modem-latest,KioSoft Globalazure  Subscription,rg50-prod-modem,0.0,28.372494,-28.372494,REMOVED
mysql03-prod-modem-dbrestore02,KioSoft Globalazure  Subscription,rg50-prod-modem,0.0,28.030003,-28.030003,REMOVED
mysql03-prod-modem-dbrestore03,KioSoft Globalazure  Subscription,rg50-prod-modem,0.0,28.030003,-28.030003,REMOVED
snapshot-disk20012-prod-csc-elk01-os,KioSoft Globalazure  Subscription,rg20003-prod-csc,26.991011,0.0,26.991011,NEW
